name,rating,review_time,variant,comment,like_count
R***a,5,4 bulan lalu,,"barang original, kualitas bagus, suara jernih dan ngebass, segel aman, packing rapih",0
Zaky,5,7 bulan lalu,Varian: A 32 Pro,"barang di trima aman ga ada lecet dan sebagainya thx bgt buat admin xiaomi, untuk ekspedisi jne tolong yah komunikasinya dengan pihak penerima, kualitas suara yg sangat b...",6
A***h,5,11 bulan lalu,Varian: A 32 Pro,"Terbaaaeeqqqq.. Barang original Xiaomi 
kualitas pasti nya ga diragukan lagi
gambar jernih banget dan tampilan kokoh. pokokeee puoollll puuoollll puuoolll deh",2
Ahmad,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"barang original, seauai dan bahkan melebihi ekspektasi. berfungsi optimal dan dapat dijalankan dengan mudah.",3
Achmad,5,8 bulan lalu,Varian: A 32 Pro,"nice packing aman,semoga awet yaa
ada garansi juga
mantap kualitas suaranya yg pro ini.
thanks seller",2
Sandy,5,9 bulan lalu,Varian: A 32 Pro,Barang original biar bintang aja yang berbicara 😁,0
A***A,5,6 bulan lalu,Varian: A 32 Pro,"barang sudah sampai, dan selamat tapi knpa aga lemot ya apa mungkin emang udah dari sananya wkwk tapi gpp",0
K***a,5,Lebih dari 1 tahun lalu,,Pengiriman aman.. sampai dg baik dan menyala dan berfungsi dg baik,8
A***n,5,Lebih dari 1 tahun lalu,,"saya sekali toko official tdk menyediakan opsi pengiriman instan, maka kami hanya bisa menunggu dagdigdug, moga baik2 saja ia wara wiri di proses perjalanan, apalagi cuma...",8
Mascatur,5,Lebih dari 1 tahun lalu,,"sesuai ekspektasi pokonya
lengkap sudah, thank you xiaomi TV",4
A***s,5,Lebih dari 1 tahun lalu,,"Barang sesuai ekspektasi... model keren, layar jernih dan tajam, test hdr warna hitam pekat... panel layar mulus tanpa bocor pixel... suara mantul bass & treble... pa...",2
A***a,5,Lebih dari 1 tahun lalu,,"masyaAllah, Tabarakallah.. saya dapat TV  Xiaomi A32 Pro dengan harga 11K

terimakasih tokped 🙏

Alhamdulillah pengiriman cepat, ga lebih dr 1 minggu. Barang di terima d...",8
sri,5,Lebih dari 1 tahun lalu,,Alhamdulillah cepet banget nyampe nya.. terimakasih seller 🫶,3
Septian,5,Lebih dari 1 tahun lalu,,"barang mantap, packing oke, next mungkin bisa order disini lagi. trims xiaomi official",2
Zaenal,5,Lebih dari 1 tahun lalu,,barang ori dan dapat garansi. kurir ramah tadi mengingatkan saya tentang paket nya. adik saya menyukai nya,9
K***a,5,Lebih dari 1 tahun lalu,,"Alhamdulillah smpe dgn selamat tv ny, mudah-mudahan tv ny bsa berfungsi dgn baik, packing oke, kurir ny juga hati² bgt anternya, makasih bnyk",8
m***d,5,Lebih dari 1 tahun lalu,,"Mantap sih ini smart tv harganya juga terjangkau. tampilan gambar juga bagus udah HD, tapi agak rada lama ya respon remote tv nya tapi bagus",4
Achmad,5,9 bulan lalu,Varian: A 32 Pro,"barang oke
kualitas oke
gambar oke
remot oke
pengiriman oke
semua oke",5
i***i,5,Lebih dari 1 tahun lalu,,"mantep, kece, cakep, canggih, tanpa perlu antena",0
R***y,5,6 bulan lalu,Varian: A 32 Pro,Sangat bagus pengiriman aman sampai luar kora,0
A***s,5,Lebih dari 1 tahun lalu,,"Barang original, packing aman meskipun tidak pakai kayu. Dari pemesanan hingga barang sampai 4hari. Lumayan bikin degdegan karna sampai lama, takut kenapa2 barangnya, tp...",8
b***s,5,Lebih dari 1 tahun lalu,,"mantap, selalu terbaik xiaomi . . . hp poco, tv xiaomi, pad poco, semua barang xiaomi . . . slay abissss. . . barang oke, kualitas oke, barang oke . . .",0
